"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_0072","638105435","100518","101846","+","0.31","1329","443","PBS lyase HEAT-like repeat","113473993","4242455","-"
"Tery_0073","638105436","102724","103299","-","0.4","576","192","hypothetical protein","113473994","4242456","-"
"Tery_0074","639331278","104064","104282","-","0.28","219","73","-","-","-","-"
"Tery_0075","638105437","105037","105312","-","0.33","276","92","conserved hypothetical protein","113473995","4241862","-"
"Tery_0076","638105438","105879","106097","-","0.29","219","73","conserved hypothetical protein","113473996","4241863","-"
"Tery_0077","638105439","106852","107070","-","0.3","219","73","conserved hypothetical protein","113473997","4241864","-"
"Tery_0078","638105440","107825","108043","-","0.3","219","73","conserved hypothetical protein","113473998","4241865","-"
"Tery_0079","638105441","108798","109016","-","0.3","219","73","conserved hypothetical protein","113473999","4241866","-"
"Tery_0080","638105442","109771","110394","-","0.34","624","208","conserved hypothetical protein","113474000","4241867","-"
"Tery_0081","638105443","110607","111539","-","0.32","933","311","putative lipid kinase","113474001","4241868","-"
"Tery_0082","638105444","113289","115082","-","0.32","1794","598","metallophosphoesterase","113474002","4241869","-"
"Tery_0083","639331279","115132","115716","-","0.28","585","195","-","-","-","-"
"Tery_0085","638105446","116114","116977","+","0.31","864","288","sulfotransferase","113474004","4241872","-"
"Tery_0086","639331280","118355","119075","-","0.36","721","240.3333333","-","-","-","-"
"Tery_0087","638105447","119376","121190","+","0.44","1815","605","aspartate kinase( EC:2.7.2.4 )","113474005","4241874","-"
"Tery_0088","638105448","122033","123379","-","0.3","1347","449","serine/threonine protein kinase with FHA domain","113474006","4241875","-"
"Tery_0089","638105449","124516","125490","+","0.33","975","325","COG4301: Uncharacterized conserved protein","113474007","4241876","-"
"Tery_0090","638105450","125895","127244","+","0.34","1350","450","protein of unknown function DUF323","113474008","4241877","-"
"Tery_0091","638105451","127898","128116","+","0.28","219","73","hypothetical protein","113474009","4241878","-"
"Tery_0092","639331281","128117","128599","+","0.31","483","161","-","-","-","-"
"Tery_0093","638105452","129597","129836","+","0.28","240","80","hypothetical protein","113474010","4243034","-"
"Tery_0094","638105453","130201","130701","+","0.35","501","167","protein of unknown function DUF427","113474011","4243035","-"
"Tery_0095","639331282","130765","131052","+","0.27","288","96","-","-","-","-"
"Tery_0096","638105454","131093","131992","+","0.31","900","300","Methyltransferase type 12","113474012","4243037","-"
"Tery_0097","638105455","132007","133308","-","0.39","1302","434","amino acid permease-associated region","113474013","4243038","-"
"Tery_0098","639331283","133769","134475","+","0.42","707","235.6666667","-","-","-","-"
"Tery_0099","639331284","134634","134954","+","0.44","321","107","-","-","-","-"
"Tery_0100","638105456","135778","138564","+","0.32","2787","929","Na-Ca exchanger/integrin-beta4","113474014","4243041","-"
"Tery_0101","639331285","138907","139326","-","0.42","420","140","-","-","-","-"
"Tery_0102","638105457","139424","139738","-","0.41","315","105","hypothetical protein","113474015","4243043","-"
"Tery_0103","638105458","140161","140898","-","0.36","738","246","Pirin-like","113474016","4243044","-"
"Tery_0104","638105459","141415","142320","-","0.39","906","302","Vitamin K epoxide reductase","113474017","4243045","-"
"Tery_0105","639331286","143542","144689","+","0.29","1148","382.6666667","-","-","-","-"
"Tery_0106","639331287","145446","145688","-","0.37","243","81","-","-","-","-"
"Tery_0107","638105460","146668","146931","+","0.34","264","88","hypothetical protein","113474018","4243048","-"
"Tery_0108","638105461","147658","148572","+","0.37","915","305","Ap4A phosphorylase II( EC:2.7.7.53 )","113474019","4243049","-"
"Tery_0109","638105462","149231","150202","-","0.39","972","324","light-dependent protochlorophyllide reductase( EC:1.3.1.33 )","113474020","4243050","-"
"Tery_0110","639331288","150775","151294","+","0.41","520","173.3333333","-","-","-","-"
"Tery_0111","638105463","151332","151466","-","0.35","135","45","hypothetical protein","113474021","4243052","-"
"Tery_0113","639331289","153324","154171","+","0.38","848","282.6666667","-","-","-","-"
"Tery_0114","638105465","154460","154756","-","0.33","297","99","conserved hypothetical protein","113474023","4245505","-"
"Tery_0115","638105466","155085","157763","-","0.34","2679","893","glycosyl transferase, family 2","113474024","4245506","-"
"Tery_0116","638105467","158094","158963","-","0.4","870","290","TPR repeat","113474025","4245507","-"
"Tery_0117","638105468","159122","163132","-","0.41","4011","1337","peptidase S8 and S53, subtilisin, kexin, sedolisin","113474026","4245508","-"
"Tery_0118","638105469","163385","163648","+","0.34","264","88","conserved hypothetical protein","113474027","4245509","-"
"Tery_0119","638105470","164262","164930","-","0.34","669","223","conserved hypothetical protein","113474028","4245510","-"
"Tery_0120","638105471","165274","166119","-","0.3","846","282","sulfotransferase","113474029","4245511","-"
"Tery_0121","638105472","166446","167438","-","0.3","993","331","Methyltransferase type 12","113474030","4245512","-"
"Tery_0122","638105473","167483","177388","-","0.33","9906","3302","glycosyl transferase, group 1","113474031","4245513","-"
"Tery_0124","638105474","178603","180135","-","0.38","1533","511","conserved hypothetical protein","113474032","4245515","-"
"Tery_0125","638105475","180459","181211","-","0.34","753","251","ABC transporter related","113474033","4245516","-"
"Tery_0126","639331291","181229","181651","+","0.39","423","141","-","-","-","-"
"Tery_0127","638105476","181654","182427","-","0.32","774","258","ABC transporter related","113474034","4245518","-"
"Tery_0128","638105477","182421","183602","-","0.32","1182","394","inner-membrane translocator","113474035","4245519","-"
"Tery_0129","638105478","184247","185407","-","0.31","1161","387","inner-membrane translocator","113474036","4245520","-"
"Tery_0130","638105479","186490","187761","-","0.35","1272","424","extracellular ligand-binding receptor","113474037","4245521","-"
"Tery_0131","638105480","188512","188796","-","0.41","285","95","COG0110: Acetyltransferase (isoleucine patch superfamily)","113474038","4245522","-"
"Tery_0132","638105481","189570","193661","-","0.34","4092","1364","cobaltochelatase, CobN subunit( EC:6.6.1.2 )","113474039","4242417","cobN"
"Tery_0133","638105482","194505","195692","-","0.32","1188","396","protein of unknown function DUF187","113474040","4242418","-"
"Tery_0134","638105483","196262","197389","+","0.3","1128","376","conserved hypothetical protein","113474041","4242419","-"
"Tery_0135","638105484","197382","197672","+","0.31","291","97","conserved hypothetical protein","113474042","4242420","-"
"Tery_0136","638105485","197814","198488","+","0.34","675","225","conserved hypothetical protein","113474043","4242421","-"
"Tery_0137","638105486","198506","199444","+","0.34","939","313","conserved hypothetical protein","113474044","4242422","-"
"Tery_0138","638105487","199938","201053","-","0.31","1116","372","putative ribonuclease BN","113474045","4242423","-"
"Tery_0139","638105488","202233","202853","+","0.34","621","207","hypothetical protein","113474046","4242424","-"
"Tery_0140","638105489","204811","205926","-","0.42","1116","372","threonine synthase( EC:4.2.3.1 )","113474047","4242425","-"
"Tery_0141","638105490","207239","207502","+","0.34","264","88","hypothetical protein","113474048","4242426","-"
"Tery_0142","638105491","207806","208861","+","0.37","1056","352","fatty acid desaturase( EC:1.14.19.- )","113474049","4242427","-"
"Tery_0143","638105492","209440","210882","+","0.32","1443","481","Cobyrinic acid a,c-diamide synthase( EC:2.7.10.- )","113474050","4242428","-"
"Tery_0144","638105493","210882","211856","+","0.31","975","325","hypothetical protein","113474051","4242429","-"
"Tery_0145","638105494","212926","214536","-","0.36","1611","537","conserved hypothetical protein","113474052","4242430","-"
"Tery_0146","638105495","214536","215744","-","0.4","1209","403","glycosyl transferase, group 1","113474053","4242431","-"
"Tery_0147","638105496","215800","216867","+","0.29","1068","356","pyruvyl-transferase","113474054","4242432","-"
"Tery_0148","638105497","217777","218829","+","0.33","1053","351","glycosyl transferase, family 2","113474055","4242433","-"
"Tery_0149","638105498","219182","219649","-","0.41","468","156","Rho termination factor-like","113474056","4242434","-"
"Tery_0150","638105499","220187","220516","-","0.32","330","110","hypothetical protein","113474057","4242435","-"
"Tery_0151","638105500","221200","222018","+","0.35","819","273","RcaD protein","113474058","4242436","-"
"Tery_0152","638105501","222270","224264","+","0.31","1995","665","RcaG protein","113474059","4241745","-"
"Tery_0153","638105502","224551","225456","+","0.34","906","302","conserved hypothetical protein","113474060","4241746","-"
"Tery_0154","639331292","226829","227508","-","0.35","680","226.6666667","-","-","-","-"
"Tery_0155","638105503","228600","228776","-","0.35","177","59","transposase","113474061","4241748","-"
"Tery_0156","638105504","230297","232696","-","0.34","2400","800","transglutaminase-like","113474062","4241749","-"
"Tery_0157","638105505","238306","239277","+","0.39","972","324","Trans-hexaprenyltranstransferase( EC:2.5.1.30,EC:2.5.1.- )","113474063","4241750","-"
"Tery_0158","638105506","239488","239967","-","0.35","480","160","conserved hypothetical protein","113474064","4241751","-"
"Tery_0159","638105507","240062","241228","+","0.39","1167","389","conserved hypothetical protein","113474065","4241752","-"
"Tery_0160","638105508","241221","242240","+","0.38","1020","340","PatU","113474066","4241753","-"
"Tery_0161","638105509","242603","243415","-","0.34","813","271","glutamate racemase( EC:5.1.1.3 )","113474067","4241754","-"
"Tery_0162","638105510","244314","244883","-","0.4","570","190","Redoxin","113474068","4241755","-"
"Tery_0163","638105511","246541","247155","-","0.33","615","205","maf protein","113474069","4241756","-"
"Tery_0164","638105512","247846","248388","-","0.4","543","181","photosystem II oxygen evolving complex protein PsbP","113474070","4241757","-"
"Tery_0165","638105513","248855","249184","+","0.39","330","110","DNA recombination protein, RuvA","113474071","4241758","-"
"Tery_0166","639331293","249743","250456","+","0.37","714","238","-","-","-","-"
"Tery_0167","639331294","250697","251212","+","0.36","516","172","-","-","-","-"
"Tery_0168","638105514","251225","251584","+","0.38","360","120","Holliday junction DNA helicase RuvA","113474072","4241761","-"
"Tery_0169","638105515","251672","251941","+","0.35","270","90","ribosomal protein S15","113474073","4241762","-"
"Tery_0170","638105516","251952","252425","+","0.33","474","158","conserved hypothetical protein","113474074","4241763","-"
"Tery_0171","638105517","254069","255130","+","0.42","1062","354","phospho-2-dehydro-3-deoxyheptonate aldolase( EC:2.5.1.54 )","113474075","4242921","-"
"Tery_0172","638105518","256583","257716","-","0.37","1134","378","conserved hypothetical protein","113474076","4242922","-"
"Tery_0173","638105519","258358","259317","+","0.32","960","320","Radical SAM( EC:2.5.1.- )","113474077","4242923","cofG"
"Tery_0174","638105520","259770","261428","+","0.38","1659","553","GUN4-like","113474078","4242924","-"
"Tery_0175","638105521","262109","262288","+","0.44","180","60","hypothetical protein","113474079","4242925","-"
"Tery_0176","638105522","262379","262978","-","0.37","600","200","conserved hypothetical protein","113474080","4242926","-"
"Tery_0177","638105523","263727","264146","+","0.35","420","140","hypothetical protein","113474081","4242927","-"
"Tery_0178","638105524","264281","265960","+","0.44","1680","560","GUN4-like","113474082","4242928","-"
"Tery_0179","638105525","266150","266914","-","0.4","765","255","protein of unknown function DUF1568","113474083","4242929","-"
"Tery_0180","639331295","267717","267947","-","0.41","231","77","-","-","-","-"
"Tery_0181","638105526","268161","269534","+","0.37","1374","458","cytochrome P450( EC:1.14.14.1 )","113474084","4242931","-"
"Tery_0182","638105527","269811","270872","+","0.44","1062","354","photosystem q(b) protein","113474085","4242932","-"
"Tery_R0001","640717029","272619","272692","-","0.51","74","-","tRNA-Val-GAC ","-","4242934","-"
"Tery_0184","638105530","272764","274590","-","0.39","1827","609","serine/threonine protein kinase with WD40 repeats","113474087","4242935","-"
"Tery_0185","638105531","275667","276845","-","0.33","1179","393","aminotransferase, class V","113474088","4242936","-"
"Tery_0186","638105532","277765","279303","+","0.31","1539","513","conserved hypothetical protein","113474089","4242937","-"
"Tery_0187","638105533","279451","280641","+","0.29","1191","397","COG4222: Uncharacterized protein conserved in bacteria","113474090","4242938","-"
"Tery_R0002","640717030","280981","281054","+","0.59","74","-","tRNA-Asp-GTC ","-","4242939","-"
"Tery_0188","638105535","281404","284049","+","0.39","2646","882","glutamyl-tRNA synthetase( EC:6.1.1.17 )","113474091","4242194","-"
"Tery_0189","638105536","284158","284673","+","0.32","516","172","conserved hypothetical protein","113474092","4242195","-"
"Tery_0190","638105537","285862","287871","-","0.4","2010","670","Uma1","113474093","4242196","-"
"Tery_0191","639331296","288073","288348","-","0.38","276","92","-","-","-","-"
"Tery_0192","638105538","289075","289680","+","0.32","606","202","conserved hypothetical protein","113474094","4242198","-"
"Tery_0193","638105539","289976","291565","-","0.37","1590","530","conserved hypothetical protein","113474095","4242199","-"
"Tery_0194","638105540","292667","292939","-","0.4","273","91","conserved hypothetical protein","113474096","4242200","-"
"Tery_0195","639331297","293673","294263","+","0.28","591","197","-","-","-","-"
"Tery_0196","638105541","294279","294905","-","0.3","627","209","hypothetical protein","113474097","4242202","-"
"Tery_0197","638105542","294991","295656","+","0.34","666","222","COG5413: Uncharacterized integral membrane protein","113474098","4242203","-"
"Tery_0198","638105543","297094","297624","-","0.3","531","177","conserved hypothetical protein","113474099","4242204","-"
"Tery_0199","638105544","298526","300574","+","0.38","2049","683","ABC transporter related","113474100","4242205","-"
"Tery_0201","638105546","304605","306062","+","0.37","1458","486","aminotransferase, class V( EC:2.8.1.7 )","113474102","4242207","-"
"Tery_0202","638105547","306604","307140","+","0.37","537","179","putative transcriptional regulator","113474103","4242208","-"
"Tery_0203","638105548","307162","308481","+","0.34","1320","440","PAS/PAC sensor signal transduction histidine kinase","113474104","4242209","-"
"Tery_0205","638105550","310956","311729","-","0.36","774","258","short-chain dehydrogenase/reductase SDR( EC:1.1.1.276 )","113474106","4242211","-"
"Tery_0206","638105551","311780","312592","-","0.31","813","271","conserved hypothetical protein","113474107","4241802","-"
"Tery_0207","638105552","312998","314122","+","0.37","1125","375","UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase( EC:2.4.1.227 )","113474108","4241803","-"
"Tery_0208","638105553","314229","314588","-","0.27","360","120","hypothetical protein","113474109","4241804","-"
"Tery_0209","638105554","315196","317253","+","0.3","2058","686","MscS Mechanosensitive ion channel","113474110","4241805","-"
"Tery_0210","638105555","317874","319187","-","0.38","1314","438","precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit( EC:2.1.1.132,EC:1.-,EC:2.1.1.132 )","113474111","4241806","-"
"Tery_0211","638105556","319663","320403","-","0.34","741","247","conserved hypothetical protein","113474112","4241807","-"
"Tery_0212","638105557","320516","321466","+","0.35","951","317","DNA polymerase III, delta subunit( EC:2.7.7.7 )","113474113","4241808","-"
"Tery_0213","638105558","324132","325088","+","0.36","957","319","hypothetical protein","113474114","4241809","-"
"Tery_0214","638105559","325107","326174","+","0.34","1068","356","GHMP kinase","113474115","4241810","-"
"Tery_0215","638105560","327191","327484","-","0.43","294","98","hypothetical protein","113474116","4241811","-"
"Tery_0216","638105561","328879","329292","-","0.36","414","138","transcriptional regulator, AbrB family","113474117","4241812","-"
"Tery_0217","638105562","330834","331637","+","0.41","804","268","Creatininase( EC:3.5.2.10 )","113474118","4241813","-"
"Tery_0218","638105563","332920","335472","-","0.38","2553","851","glycogen/starch/alpha-glucan phosphorylases( EC:2.4.1.1 )","113474119","4241814","-"
"Tery_0219","639331298","336517","336958","-","0.3","442","147.3333333","-","-","-","-"
"Tery_0220","638105564","337202","338224","-","0.35","1023","341","Radical SAM","113474120","4241816","-"
"Tery_0221","638105565","339480","340676","+","0.39","1197","399","unnamed protein product; Similar to tr|Q8YVP2|Q8YVP2 [Anabaena_sp._(strain_PCC_7120)._] All1932 protein","113474121","4241817","-"
"Tery_0222","638105566","340839","341948","+","0.39","1110","370","unnamed protein product; Similar to tr|Q8YVP3|Q8YVP3 [Anabaena_sp._(strain_PCC_7120)._] All1931 protein","113474122","4241818","-"
"Tery_0223","638105567","344301","345062","-","0.37","762","254","PpiC-type peptidyl-prolyl cis-trans isomerase","113474123","4241819","-"
"Tery_0224","638105568","345347","347230","-","0.37","1884","628","secretion protein HlyD","113474124","4241820","-"
"Tery_0225","638105569","347561","350287","-","0.41","2727","909","cyclic nucleotide-regulated ABC bacteriocin/lantibiotic exporters","113474125","4241821","-"
"Tery_0226","638105570","350401","351009","-","0.37","609","203","COG3335: Transposase and inactivated derivatives","113474126","4242380","-"
"Tery_0227","638105571","352378","353694","+","0.3","1317","439","hypothetical protein","113474127","4242381","-"
"Tery_0228","638105572","354244","356607","+","0.31","2364","788","putative Chase2 sensor protein","113474128","4242382","-"
"Tery_0229","638105573","356894","357769","+","0.4","876","292","protein of unknown function DUF928","113474129","4242383","-"
"Tery_0230","638105574","358803","359048","+","0.24","246","82","conserved hypothetical protein","113474130","4242384","-"
"Tery_0231","638105575","359583","361217","-","0.38","1635","545","Ppx/GppA phosphatase( EC:3.6.1.40,EC:3.6.1.11 )","113474131","4242385","-"
"Tery_0232","638105576","361712","362587","+","0.38","876","292","4-hydroxybenzoate polyprenyl transferase( EC:2.5.1.- )","113474132","4242386","ubiA"
"Tery_0234","638105578","363849","364400","-","0.32","552","184","Redoxin","113474134","4242388","-"
"Tery_0235","638105579","364533","365132","-","0.38","600","200","alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen( EC:1.11.1.15 )","113474135","4242389","-"
"Tery_0236","639331299","366620","367054","+","0.3","435","145","-","-","-","-"
"Tery_R0003","640717031","367817","367889","-","0.58","73","-","tRNA-Met-CAT ","-","4242391","-"
"Tery_0237","638105581","368911","371385","-","0.37","2475","825","peptidase M23B","113474136","4242392","-"
"Tery_0238","638105582","372181","372642","-","0.37","462","154","tRNA/rRNA methyltransferase (SpoU)( EC:2.1.1.- )","113474137","4242393","-"
"Tery_0239","638105583","373560","375467","+","0.39","1908","636","RNA-directed DNA polymerase (Reverse transcriptase)","113474138","4242394","-"
"Tery_0240","638105584","375832","377736","-","0.39","1905","635","RNA-directed DNA polymerase (Reverse transcriptase)","113474139","4242395","-"
"Tery_0241","639331300","377965","378238","+","0.45","274","91.33333333","-","-","-","-"
"Tery_0242","638105585","379093","380244","-","0.38","1152","384","glutamate--cysteine ligase, putative","113474140","4242397","-"
"Tery_0243","638105586","380511","381323","-","0.31","813","271","cobyrinic acid a c-diamide synthase","113474141","4241880","-"
"Tery_0244","638105587","382366","383226","+","0.37","861","287","conserved hypothetical protein","113474142","4241881","-"
"Tery_0245","638105588","383619","384155","+","0.28","537","179","hypothetical protein","113474143","4241882","-"
"Tery_0246","638105589","384785","385255","+","0.35","471","157","protein of unknown function DUF924","113474144","4241883","-"
"Tery_0247","638105590","385456","387327","-","0.34","1872","624","serine/threonine protein kinase","113474145","4241884","-"
"Tery_0248","638105591","389480","390406","-","0.29","927","309","Spermine synthase( EC:2.5.1.16 )","113474146","4241885","-"
"Tery_0249","638105592","390886","392010","-","0.33","1125","375","putative RNA methylase","113474147","4241886","-"
"Tery_0250","638105593","392348","392641","+","0.29","294","98","hypothetical protein","113474148","4241887","-"
"Tery_0251","638105594","392631","393239","-","0.35","609","203","hypothetical protein","113474149","4241888","-"
"Tery_0252","639331301","393976","394604","-","0.37","629","209.6666667","-","-","-","-"
"Tery_0253","639331302","394605","395062","-","0.32","458","152.6666667","-","-","-","-"
"Tery_0255","638105596","397560","398477","+","0.35","918","306","peptidase M23B( EC:3.4.24.75 )","113474151","4241892","-"
"Tery_0256","638105597","399270","400796","-","0.29","1527","509","hypothetical protein","113474152","4241893","-"
"Tery_0257","638105598","401387","401554","+","0.39","168","56","conserved hypothetical protein","113474153","4241894","-"
"Tery_0258","638105599","401698","402621","+","0.4","924","308","Asparaginase( EC:3.5.1.1 )","113474154","4241895","-"
"Tery_0259","638105600","402783","403595","-","0.31","813","271","endodeoxyribonuclease RusA","113474155","4241896","-"
"Tery_0260","638105601","404593","405453","-","0.41","861","287","lipoprotein  putative","113474156","4241897","-"
"Tery_0261","639331303","405667","406119","+","0.32","453","151","-","-","-","-"
"Tery_0262","638105602","407544","407945","-","0.41","402","134","ribosomal protein L7/L12","113474157","4241899","-"
"Tery_0263","638105603","408165","408737","-","0.4","573","191","ribosomal protein L10","113474158","4241629","rplJ"
"Tery_0264","638105604","409830","410546","-","0.4","717","239","ribosomal protein L1","113474159","4241630","rplA"
"Tery_0265","638105605","410674","411099","-","0.42","426","142","ribosomal protein L11","113474160","4241631","-"
"Tery_0266","638105606","411099","411773","-","0.39","675","225","NusG antitermination factor","113474161","4241632","nusG"
"Tery_0267","638105607","411770","411994","-","0.35","225","75","preprotein translocase, SecE subunit","113474162","4241633","secE"
"Tery_0268","638105609","412469","412852","-","0.4","384","128","ribosomal protein L19","113474163","4241635","rplS"
"Tery_0269","638105610","413407","415158","+","0.35","1752","584","protein of unknown function DUF6, transmembrane","113474164","4241636","-"
"Tery_0270","638105611","415937","417622","+","0.44","1686","562","chaperonin GroEL","113474165","4241637","groEL"
"Tery_0271","638105612","417849","420950","+","0.44","3102","1034","pentapeptide repeat","113474166","4241638","-"
"Tery_0273","638105613","422371","423588","+","0.32","1218","406","major facilitator superfamily MFS_1","113474167","4241640","-"
"Tery_0274","638105614","423919","424896","+","0.32","978","326","sulfotransferase","113474168","4241641","-"
"Tery_0275","638105615","425178","426698","-","0.4","1521","507","glucose-methanol-choline oxidoreductase","113474169","4241642","-"
"Tery_0276","638105616","427229","427843","-","0.39","615","205","cytochrome c oxidase, subunit III( EC:1.9.3.1 )","113474170","4241643","-"
"Tery_0277","638105617","428293","429981","-","0.42","1689","563","Cytochrome-c oxidase( EC:1.9.3.1 )","113474171","4241644","-"
"Tery_0278","638105618","430086","430994","-","0.39","909","303","cytochrome c oxidase, subunit II( EC:1.9.3.1 )","113474172","4241645","-"
"Tery_0279","638105619","431013","431618","-","0.38","606","202","conserved hypothetical protein","113474173","4241646","-"
"Tery_0280","638105620","431615","432115","-","0.39","501","167","conserved hypothetical protein","113474174","4242135","-"
